GE_DE,x_source_embedded,x_source_embedded,x_target_embedded,x_target_embedded,F_source_embedded,F_source_embedded,F_target_embedded,F_target_embedded,DE_GE,F_source_embedded,F_source_embedded,F_target_embedded,F_target_embedded
131,-26.42732239,-30.8033371,-33.70460892,-22.25134087,-31.22802544,-35.22257996,-5.766571045,-30.2352066,131,-29.32017326,-45.02084351,-14.47670841,6.779343605
132,-26.20697784,-30.08649063,-43.21975327,-12.89685059,-30.72353363,-34.55276108,-2.656359673,-27.76555061,132,-29.6321106,-43.63622284,-11.24372387,5.183883667
133,-27.10324669,-29.47452164,-31.23731232,-14.75751877,-29.82240295,-35.48216248,-0.193174511,-26.83194923,133,-29.31654358,-44.14107895,-8.736413956,4.660150528
134,-43.72855759,-55.32622147,-30.92610931,-13.83467579,-47.61887741,-60.37186432,2.558517933,-30.87732315,134,-35.88103104,-73.34020233,-6.986463547,4.663729191
135,-46.91637421,-56.62817764,-30.92610931,-13.83467579,-49.42554474,-62.92948914,16.49719048,-33.97301102,135,-38.07740021,-74.28089905,-5.724460602,3.875486851
136,-46.29310989,-56.43027115,-29.84497833,-10.12453079,-49.77827072,-62.36914444,2.629446983,-30.8406353,136,-38.719944,-73.404953,-6.826544762,4.865340233
137,-43.35767746,-55.62202835,-29.59988213,-9.979730606,-48.00775528,-60.03351593,16.25547791,-34.78067017,137,-40.37839127,-69.05754852,-5.420374393,4.262206078
138,-25.36577225,-37.59703064,-31.02189255,-14.93442631,-34.31611252,-33.91291809,17.05812073,-33.87232208,138,-33.05617523,-43.28017044,-5.484026909,3.6953578
139,-25.44618416,-37.84002304,-45.09708786,-9.004137993,-34.62640762,-34.13006973,-0.617686749,-25.88126373,139,-33.41144943,-43.80531311,-9.059688568,4.220373154
140,-26.33390808,-30.8329792,-47.61747742,-5.95172739,-31.15916824,-35.09654617,19.20200157,-30.95985222,140,-27.93174934,-45.30257797,3.673721552,0.793736815
141,-32.16992569,-27.97530556,-47.58950806,-7.5320611,-28.56579399,-35.74898911,17.03414154,-33.76346588,141,-27.77984238,-46.2842865,-5.163016796,3.727243662
142,-25.93594933,-30.73649788,-47.5385437,-7.485742092,-31.564394,-34.49793625,-2.368194103,-20.02915001,142,-31.67031097,-43.08037186,-9.562441826,-0.993647993
143,-18.62760162,-5.473035336,-43.00060272,-11.7459507,-20.63354683,-0.784264684,-3.274629831,-13.44914913,143,-30.77882576,-37.4223175,-10.83504963,-4.706503868
144,-45.94989395,-56.64618683,-30.52849007,-16.34972382,-50.41186142,-62.15562057,-1.251462936,-25.89180756,144,-37.6615181,-74.10166168,-9.597109795,4.260258675
145,-47.54550171,-57.0186615,-29.37997818,-8.506051064,-47.723423,-79.10506439,-0.415999413,-25.60475731,145,-36.98456573,-81.7758255,-8.753092766,3.967315674
146,-45.91063309,-57.39319611,-30.3953495,-7.082975864,-51.71688843,-62.43558502,1.59435761,-30.21077347,146,-40.10960388,-75.01345062,-7.549741268,4.680597782
147,-45.32839584,-56.71835709,-30.3953495,-7.082975864,-50.53384781,-61.49752045,-0.623695135,-26.6427002,147,-39.59392166,-73.65376282,-9.321768761,4.633328915
